Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,472245966,,,4
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",8,Weight in kilograms,,,65471044,,65471044,,262245503,,,0
H5,2017,2017,2017,6,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,090111,Coffee; not roasted or decaffeinated,8,Weight in kilograms,,,47938323,,47938323,,128485755,,,0
H5,2017,2017,2017,6,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,090112,"Coffee; decaffeinated, not roasted",8,Weight in kilograms,,,74095,,74095,,381825,,,0
H5,2017,2017,2017,6,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,090121,"Coffee; roasted, not decaffeinated",8,Weight in kilograms,,,16822992,,16822992,,125791055,,,0
H5,2017,2017,2017,6,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,090122,"Coffee; roasted, decaffeinated",8,Weight in kilograms,,,631758,,631758,,7564153,,,0
H5,2017,2017,2017,6,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,090190,"Coffee; husks and skins, coffee substitutes containing coffee in any proportion",8,Weight in kilograms,,,3876,,3876,,22715,,,0
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,0902,Tea,8,Weight in kilograms,,,29694279,,29694279,,149129700,,,6
H5,2017,2017,2017,6,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,090210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",8,Weight in kilograms,,,648710,,648710,,6058785,,,6
H5,2017,2017,2017,6,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,090220,"Tea, green; (not fermented), in immediate packings of a content exceeding 3kg",8,Weight in kilograms,,,1654046,,1654046,,8224031,,,6
